A,B,A_B
50916,233905,50916_233905
233905,233908,233905_233908
233924,233922,233924_233922
233472,233924,233472_233924
233941,50864,233941_50864
233922,233941,233922_233941
233954,50861,233954_50861
233956,233954,233956_233954
50862,233956,50862_233956
233972,232154,233972_232154
50918,233972,50918_233972
234017,50966,234017_50966
50967,234017,50967_234017
234020,50966,234020_50966
50971,234020,50971_234020
213028,234023,213028_234023
234028,50619,234028_50619
234023,234028,234023_234028
234035,50958,234035_50958
234040,50619,234040_50619
50617,234040,50617_234040
50750,234044,50750_234044
234045,51007,234045_51007
51017,234045,51017_234045
234048,51119,234048_51119
51120,234048,51120_234048
50966,234072,50966_234072
233497,50926,233497_50926
234409,10469,234409_10469
50945,234409,50945_234409
234412,51771,234412_51771
209092,234412,209092_234412
50611,246183,50611_246183
254231,50734,254231_50734
50747,254231,50747_254231
50735,254758,50735_254758
256662,11740,256662_11740
256662,256663,256662_256663
256669,51044,256669_51044
51050,256669,51050_256669
256672,51437,256672_51437
216642,256672,216642_256672
256682,50794,256682_50794
51009,256682,51009_256682
256683,50737,256683_50737
50754,256683,50754_256683
256692,201358,256692_201358
10435,256692,10435_256692
256700,50546,256700_50546
50599,256700,50599_256700
257016,50754,257016_50754
50794,257016,50794_257016
257194,51009,257194_51009
201358,257194,201358_257194
50566,257544,50566_257544
261245,233072,261245_233072
51082,261245,51082_261245
261292,233521,261292_233521
51124,261292,51124_261292
261393,261394,261393_261394
267426,235915,267426_235915
50546,267426,50546_267426
267427,235912,267427_235912
50567,267427,50567_267427
267428,50542,267428_50542
50559,267428,50559_267428
269983,51437,269983_51437
51452,269983,51452_269983
270014,51017,270014_51017
51024,270014,51024_270014
270073,256662,270073_256662
51073,270075,51073_270075
270076,51072,270076_51072
51073,270076,51073_270076
270080,233492,270080_233492
51038,270084,51038_270084
270135,233525,270135_233525
51103,270135,51103_270135
270192,233497,270192_233497
270136,270192,270136_270192
270195,270073,270195_270073
51089,270195,51089_270195
270971,51099,270971_51099
51096,270971,51096_270971
270084,270972,270084_270972
276283,50843,276283_50843
261394,276283,261394_276283
276403,50915,276403_50915
233908,276403,233908_276403
276434,234038,276434_234038
50978,276434,50978_276434
276976,12776,276976_12776
50849,276976,50849_276976
280339,50993,280339_50993
280340,280339,280340_280339
233474,280340,233474_280340
281285,50849,281285_50849
50850,281285,50850_281285
281296,281295,281296_281295
234072,281296,234072_281296
281295,281318,281295_281318
281319,224903,281319_224903
281330,50753,281330_50753
281350,51037,281350_51037
270972,281350,270972_281350
281352,51039,281352_51039
236209,281352,236209_281352
281354,51045,281354_51045
51045,281355,51045_281355
